id,text
1,德國的科學力是世界第一
2,想死一次看看嗎？
3,咕嚕靈波（○′∀‵）ノ♡
4,自古紅藍出CP，不是百合就是基
5,我不是loli控，只是喜歡的女生偶然是個loli
6,我不是針對你，我是說在座的各位－都是垃圾
7,我不直接回答你，用例子回答你
8,我不萌眼鏡屬性的
9,我們一向都是維穩，不是做新聞
10,我只是覺得男人和男人戀愛，那女人就應該和女人戀愛
11,我在打仗耶！這太荒謬了！
12,我已經用了二次啦
13,"我已經經獲得了新的力量,足夠毀滅牧業的力量"
14,我才不告訴逆咧～雷
15,我插過你屁眼，我們一輩子是朋友了
16,我捅過你屁眼，我們一輩子是朋友了
17,我敢打總統，可是我不敢坐飛機！
18,我是化不可能為可能的男人
19,我本來不想用這一招的
20,我現在的心情你怎麼可能了解
21,我的答案跟小當家一樣
22,我的蛋蛋終於得到了救贖
23,我的體質容易招引蟲，住在一個地方的話，那裡就會變成蟲的巢穴。
24,我相信自由自在，我詳細希望
25,我看過的本子夠多了，我知道接下來會發生甚麼
26,我要寫個慘字
27,我要是重來，必定是個漂亮的金髮女孩。
28,我體內的怪物已經長得這麼大了
29,所以反清復明只不過是一句口號，跟阿彌陀佛其實是一樣的
30,把你的內臟挖出來！
31,把渚送上本壘吧！
32,換個髮型就是新人物了
33,是不是到公海了？
34,是我的老婆
35,時代的眼淚
36,最近的蘿莉都不蘿莉了
37,最近都在聽L'Arc〜en〜Ciel的破曉晨鐘
38,有個能幹的妹妹真好
39,有奇怪的東西混進去了
40,朕還要幹多十個宮女呀
41,正面上我啊！
42,死的那個是我不成材的徒弟
43,殺很大，殺不用錢
44,比木瓜汁城好看
45,水銀燈的背後很脆弱
46,沒圖沒真相
47,沒有愛，就看不見
48,沒有我斬不斷的東西
49,沒有洛蘿緹你們都去死！
50,海外無人權
51,淺利義遠啊，個人風格相當明顯呢
52,為什麼你要代替你爹
53,燒他全家，打他媽媽
54,爭什麼？摻在一起做成撒尿牛丸啊笨蛋
55,犯人是房東
56,猩猩玩弄讀者的股間
57,玩不到哭哭喔www
58,玩過P4的人，都會變成蘿莉控
59,現在你感覺如何了？感覺如何了！？
60,現在想想這也是理所當然的事
61,用左眼來征服世界！
62,男人變態有什麼錯
63,男的也好，不會懷孕
64,直到我的膝蓋中了一箭
65,李探長眉頭一皺，覺得案情並不單純
66,真是的，小學生真是太棒了！！
67,督嚕督嚕賭嚕督嚕督嚕賭嚕督嚕督嚕督大大大
68,等這場戰鬥結束後，我準備要回故鄉結婚
69,粉紅切開來裡面都是黑的
70,索尼罪大滔天，搞到百姓怨聲載道
71,給你錢，快點做
72,給我去死兩次吧！
73,給我差不多一點！
74,老大這藥真的有效耶
75,聯邦的MS是怪物嗎
76,胸圍的尺寸與數學成績成反比
77,能力越強，責任越大
78,脫光光雖然也不錯，不過半裸才是好色之人的正道啊
79,腳只是裝飾而已，上面的大人物是不會懂的
80,自古槍兵幸運E
81,東方廚自重
82,至於你信不信，我反正信了
83,若你媽看到你這樣子，她會很擔心
84,蘿莉就該貧乳
85,蘿莉控不是人，是禽獸
86,蘿莉有三好，身嬌腰柔易推倒
87,我要是嫁不出去的話，你可以接受我嗎
88,要死也要悶死在巨乳以下啊！
89,認真你就輸了
90,誰要有血緣關係的妹妹
91,請剝奪我乙Hime的資格吧
92,請捅捅捅捅下去吧！
93,警察叔叔，就是這個人！
94,貓也可以
95,超好玩的！你有什麼不滿嗎！
96,躺著也中槍
97,這不是關說，那什麼才是關說？
98,這不是新阿姆斯特朗旋風噴射阿姆斯特朗砲嗎？做得挺像的呢
99,這不是肯德基！
100,這件事全世界只有三個人知道
101,這個世界沒有神
102,這個就任憑你想像了
103,這就是斯巴達！
104,這是什麼巫術
105,這是年輕犯下的錯
